,modelo,nombre,etiqueta,precision,recall,f1-score
0,mfcc,modelo_knn,hombre,0.5655737704918032,0.8625,0.6831683168316832
1,mfcc,modelo_knn,mujer,0.7105263157894737,0.3375,0.4576271186440678
2,mfcc,modelo_perceptron,hombre,0.6190476190476191,0.8125,0.7027027027027027
3,mfcc,modelo_perceptron,mujer,0.7272727272727273,0.5,0.5925925925925926
4,mfcc,modelo_sgdc,hombre,0.5620437956204379,0.9625,0.7096774193548387
5,mfcc,modelo_sgdc,mujer,0.8695652173913043,0.25,0.3883495145631068
6,mfcc,modelo_svc,hombre,0.8780487804878049,0.45,0.5950413223140496
7,mfcc,modelo_svc,mujer,0.6302521008403361,0.9375,0.7537688442211056
8,spectr,modelo_knn_spect,hombre,0.8666666666666667,0.65,0.7428571428571429
9,spectr,modelo_knn_spect,mujer,0.72,0.9,0.8
10,spectr,modelo_perceptron_spect,hombre,0.8421052631578947,1.0,0.9142857142857143
11,spectr,modelo_perceptron_spect,mujer,1.0,0.8125,0.896551724137931
12,spectr,modelo_sgdc_spect,hombre,0.8421052631578947,1.0,0.9142857142857143
13,spectr,modelo_sgdc_spect,mujer,1.0,0.8125,0.896551724137931
14,spectr,modelo_svc_spect,hombre,0.9411764705882353,1.0,0.9696969696969697
15,spectr,modelo_svc_spect,mujer,1.0,0.9375,0.967741935483871
